09:12:04.143 [main] INFO  Magneto - Launched chrome Browser
09:12:04.201 [main] INFO  Magneto - Opening Url
09:12:08.877 [main] INFO  Magneto - Opened Url : https://magento.softwaretestingboard.com/
09:12:10.923 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (29a313e5b7578c2c1b293b4eb986d575)] -> xpath: (//ul/li/a[normalize-space()='Sign In'])[1]]
09:12:10.986 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (29a313e5b7578c2c1b293b4eb986d575)] -> xpath: //div[@class='control']/input[@id='email']]
09:12:11.273 [main] INFO  Magneto - Entered : shubham@example.com
09:12:11.274 [main] INFO  Magneto - shubham@example.com Successfully entered in field
09:12:11.341 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (29a313e5b7578c2c1b293b4eb986d575)] -> xpath: (//div[@class='field password required']/div/input[@id='pass'])[1]]
09:12:11.534 [main] INFO  Magneto - Entered : Password123
09:12:11.534 [main] INFO  Magneto - Password123 Successfully entered in field
09:12:11.628 [main] INFO  Magneto - Scroll successfully : [[ChromeDriver: chrome on windows (29a313e5b7578c2c1b293b4eb986d575)] -> xpath: (//div[@class='primary']/button[@id='send2'])[1]]
09:12:14.326 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (29a313e5b7578c2c1b293b4eb986d575)] -> xpath: (//div[@class='primary']/button[@id='send2'])[1]]
09:12:14.730 [main] INFO  Magneto - Login successful: Welcome, shubham Doe!
