02:48:55.723 [main] INFO  Magneto - Launched chrome Browser
02:48:55.781 [main] INFO  Magneto - Opening Url
02:49:26.046 [main] INFO  Magneto - Opened Url : https://magento.softwaretestingboard.com/
02:49:29.835 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: (//ul/li/a[normalize-space()='Create an Account'])[1]]
02:49:29.933 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //input[@id='firstname']]
02:49:30.200 [main] INFO  Magneto - Entered : shubham
02:49:30.202 [main] INFO  Magneto - shubham Successfully entered in field
02:49:30.253 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //input[@id='lastname']]
02:49:30.442 [main] INFO  Magneto - Entered : Doe
02:49:30.442 [main] INFO  Magneto - Doe Successfully entered in field
02:49:30.510 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //input[@id='email_address']]
02:49:30.775 [main] INFO  Magneto - Entered : shubham@example.com
02:49:30.776 [main] INFO  Magneto - shubham@example.com Successfully entered in field
02:49:30.834 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //input[@id='password']]
02:49:31.031 [main] INFO  Magneto - Entered : Password123
02:49:31.031 [main] INFO  Magneto - Password123 Successfully entered in field
02:49:31.087 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //input[@id='password-confirmation']]
02:49:31.255 [main] INFO  Magneto - Entered : Password123
02:49:31.255 [main] INFO  Magneto - Password123 Successfully entered in field
02:49:31.293 [main] INFO  Magneto - Scroll successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //button[@type='submit']/span[normalize-space()='Create an Account']]
02:49:34.735 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //button[@type='submit']/span[normalize-space()='Create an Account']]
02:49:34.737 [main] INFO  Magneto - Clicked on element Create Account button
02:49:34.829 [main] INFO  Magneto - Scroll successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //div[@class='message-success success message']//div[contains(text(), 'Thank you for registering with Main Website Store.')]]
02:49:34.945 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: //div[@class='message-success success message']//div[contains(text(), 'Thank you for registering with Main Website Store.')]]
02:49:35.002 [main] INFO  Magneto - Thank you for registering with Main Website Store.
02:49:35.073 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: (//li[@class='customer-welcome']/span/button[@class='action switch'])[1]]
02:49:35.090 [main] INFO  Magneto - Scroll successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: (//li[@class='customer-welcome']/span/button[@class='action switch'])[1]]
02:49:35.237 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: (//li[@class='customer-welcome']/span/button[@class='action switch'])[1]]
02:49:37.528 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (69ab336b1e9026ffd0eda3de0300f9da)] -> xpath: (//div[@class='customer-menu']/ul/li[@class='authorization-link']/a[normalize-space()='Sign Out'])[1]]
02:49:37.531 [main] INFO  Magneto - Clicked on sign out button
02:49:37.756 [main] INFO  Magneto - Browser closed successfully.
02:49:38.856 [main] INFO  Magneto - Launched chrome Browser
02:49:38.879 [main] INFO  Magneto - Opening Url
02:49:44.935 [main] INFO  Magneto - Opened Url : https://magento.softwaretestingboard.com/
