09:01:12.568 [main] INFO  Magneto - Launched chrome Browser
09:01:12.644 [main] INFO  Magneto - Opening Url
09:01:18.916 [main] INFO  Magneto - Opened Url : https://magento.softwaretestingboard.com/
09:01:20.889 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (584bd74fd354612ceadf0b2404cd721d)] -> xpath: (//ul/li/a[normalize-space()='Sign In'])[1]]
09:01:20.952 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (584bd74fd354612ceadf0b2404cd721d)] -> xpath: //div[@class='control']/input[@id='email']]
09:01:21.361 [main] INFO  Magneto - Entered : shubham@example.com
09:01:21.362 [main] INFO  Magneto - shubham@example.com Successfully entered in field
09:01:21.414 [main] INFO  Magneto - Waiting till visibility of element to be displayed [[ChromeDriver: chrome on windows (584bd74fd354612ceadf0b2404cd721d)] -> xpath: (//div[@class='field password required']/div/input[@id='pass'])[1]]
09:01:21.614 [main] INFO  Magneto - Entered : Password123
09:01:21.614 [main] INFO  Magneto - Password123 Successfully entered in field
09:01:21.695 [main] INFO  Magneto - Scroll successfully : [[ChromeDriver: chrome on windows (584bd74fd354612ceadf0b2404cd721d)] -> xpath: (//div[@class='primary']/button[@id='send2'])[1]]
09:01:24.831 [main] INFO  Magneto - Element clicked successfully : [[ChromeDriver: chrome on windows (584bd74fd354612ceadf0b2404cd721d)] -> xpath: (//div[@class='primary']/button[@id='send2'])[1]]
09:01:25.130 [main] INFO  Magneto - Login successful: Welcome, shubham Doe!
